Model,accuracy,f1_macro,precision_macro,recall_macro
Logistic,0.7570977917981072,0.6938539973141823,0.7338026637746526,0.6852894531631817
RandomForest,0.6088328075709779,0.575600519009749,0.6277680105271782,0.5738122239449086
ExtraTree,0.6656151419558359,0.636197545741189,0.6767892069803835,0.6534183238072557
LightGBM,0.6498422712933754,0.5810614950250309,0.6554918055870202,0.5687954524835329
LinearSVM,0.7886435331230284,0.6860457416020446,0.6915132445501148,0.6969124722027199
KernelSVM,0.6908517350157729,0.6690689545794879,0.8114040616246498,0.6314772437315007
MultiNB,0.807570977917981,0.7729442529687993,0.7823112532873269,0.7859185435307726
Ensemble,0.7539432176656151,0.7287970988210243,0.7741157865646762,0.720302530931401
