Model,Hyper_Parameter,accuracy,f1_macro,Training_Time (Seconds)
KernelSVM,"{'gamma': 0.5, 'C': 0.8, 'kernel': 'rbf'}",0.7542226359888283,0.7721106696687724,64.67794942855835
RandomForest,"{'max_features': 0.4, 'n_jobs': -1, 'n_estimators': 20, 'max_depth': 75}",0.7176486234871658,0.7300324154152168,11.845921993255615
KNN,"{'weights': 'distance', 'n_neighbors': 34}",0.7776300039898922,0.7739017932133727,1.9972469806671143
LinearSVM,{'C': 0.415},0.8417342731746242,0.8398562155686954,1.3417425155639648
MultiNB,{'alpha': 0.043},0.8493150684931506,0.8464402508306861,0.12853527069091797
LightGBM,"{'learning_rate': 0.2, 'n_estimators': 45, 'max_depth': 40}",0.8023673360819258,0.8054996815704202,43.38002562522888
ExtraTree,"{'class_weight': 'balanced', 'max_features': 0.5, 'n_jobs': -1, 'n_estimators': 60, 'max_depth': 70}",0.7187125947599415,0.7456430795002366,38.90223240852356
Logistic,{'C': 7.94},0.8378773773108126,0.8389615318637773,4.871094703674316
