Model,accuracy,f1_macro,precision_macro,recall_macro
KernelSVM,0.85546875,0.8434887699180165,0.8695799072848311,0.8403609083380088
RandomForest,0.78125,0.7616374453860195,0.7987708943192737,0.7609837028425146
KNN,0.5846354166666666,0.5957559133538193,0.7974987408146149,0.5511111163129025
ExtraTree,0.7838541666666666,0.778533667891346,0.8176752647859532,0.7909216497647598
Logistic,0.8841145833333334,0.8651801735284416,0.8655301162314843,0.8731587291334779
MultiNB,0.89453125,0.8780966433982444,0.8667965315894378,0.8993028302735212
LinearSVM,0.8880208333333334,0.8678443413468241,0.8601180411391823,0.8830128804623228
Ensemble,0.8932291666666666,0.8753426303193003,0.8777941824470652,0.8831028462862285
