Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
Logistic,{'C': 1.83},0.8624457810953687,0.8524236387782205,0.8524236387782205,5.702972888946533
LinearSVM,{'C': 1.43},0.869425875896316,0.8663678618857902,0.8663678618857902,2.315864086151123
ExtraTree,"{'n_estimators': 50, 'max_depth': 70, 'max_features': 0.3, 'class_weight': 'balanced', 'n_jobs': -1}",0.809918266125986,0.7926626826029216,0.7926626826029216,40.156065464019775
KernelSVM,"{'gamma': 0.4, 'kernel': 'rbf', 'C': 0.7}",0.8093840928585614,0.7735723771580345,0.7735723771580345,54.65594482421875
LightGBM,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.2}",0.8132877924147112,0.8061088977423638,0.8061088977423638,175.69893050193787
RandomForest,"{'n_estimators': 20, 'max_depth': 80, 'max_features': 0.8, 'n_jobs': -1}",0.8053257384555291,0.7881806108897742,0.7881806108897742,30.462682008743286
MultiNB,{'alpha': 0.005},0.8653180683882298,0.8633798140770252,0.8633798140770252,0.4263472557067871
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.41145751866073016,0.31723107569721115,0.31723107569721115,3.560493230819702
