Model,accuracy,f1_macro,precision_macro,recall_macro
KNN,0.6788990825688074,0.5915049228713357,0.636724187629424,0.5904251229917538
LightGBM,0.7033639143730887,0.594902596513608,0.6391375059148515,0.5941007348195394
Logistic,0.7522935779816514,0.7056147610006822,0.7504042136860599,0.7021316173792954
RandomForest,0.6513761467889908,0.5859030287484609,0.616743484545379,0.5970461233812627
LinearSVM,0.7675840978593272,0.7120263222533929,0.7405406529356109,0.7188684470639357
ExtraTree,0.6513761467889908,0.6152263634714595,0.6569742107919447,0.6247100527120429
KernelSVM,0.6513761467889908,0.6495182264026609,0.7710594683417922,0.6271672606289479
MultiNB,0.7889908256880734,0.7340724643474761,0.7644747112086373,0.7381875129719004
Ensemble,0.7431192660550459,0.6941320971337677,0.7470106103177546,0.6944954927540067
