Model,Hyper_Parameter,accuracy,f1_macro,Training_Time (Seconds)
KernelSVM,"{'C': 0.8, 'kernel': 'rbf', 'gamma': 0.5}",0.7542226359888283,0.7721106696687724,64.876620054245
Logistic,{'C': 7.94},0.8378773773108126,0.8389615318637773,4.458039999008179
RandomForest,"{'max_depth': 75, 'n_estimators': 20, 'n_jobs': -1, 'class_weight': 'balanced', 'max_features': 0.4}",0.7252294188056922,0.7447443932611068,11.849923133850098
LinearSVM,{'C': 0.415},0.8417342731746242,0.8398562155686954,1.3629202842712402
MultiNB,{'alpha': 0.043},0.8493150684931506,0.8464402508306861,0.13024210929870605
ExtraTree,"{'max_depth': 70, 'n_estimators': 60, 'n_jobs': -1, 'max_features': 0.5}",0.7123287671232876,0.7272675310370297,38.692455530166626
KNN,"{'weights': 'distance', 'n_neighbors': 34}",0.7776300039898922,0.7739017932133727,1.892932653427124
LightGBM,"{'max_depth': 40, 'learning_rate': 0.2, 'n_estimators': 45}",0.8023673360819258,0.8054996815704202,44.116676330566406
