Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
Logistic,{'C': 1.83},0.8835111881764097,0.8735534377127298,0.8735534377127298,5.446746110916138
LightGBM,"{'learning_rate': 0.2, 'n_estimators': 50, 'max_depth': 50}",0.8527993675942552,0.8427501701837985,0.8427501701837985,132.05902075767517
LinearSVM,{'C': 1.43},0.891983523093643,0.8876786929884275,0.8876786929884275,2.2547624111175537
KernelSVM,"{'C': 0.7, 'kernel': 'rbf', 'gamma': 0.4}",0.8148400387175319,0.7802927161334241,0.7802927161334241,52.66384983062744
RandomForest,"{'n_estimators': 20, 'n_jobs': -1, 'max_features': 0.8, 'max_depth': 80}",0.8223067215528866,0.807351940095303,0.807351940095303,28.776753187179565
MultiNB,{'alpha': 0.005},0.8960594814325196,0.8932947583390062,0.8932947583390062,0.4210169315338135
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.6922754501236098,0.6230428863172226,0.6230428863172226,3.1454355716705322
ExtraTree,"{'n_estimators': 50, 'class_weight': 'balanced', 'n_jobs': -1, 'max_features': 0.3, 'max_depth': 70}",0.8370905294709069,0.8236895847515316,0.8236895847515316,34.11966037750244
