Model,accuracy,f1_macro,precision_macro,recall_macro
LightGBM,0.6498422712933754,0.5810614950250309,0.6554918055870202,0.5687954524835329
KNN,0.4889589905362776,0.45785257585707906,0.6799367069711897,0.3993134703274022
RandomForest,0.6088328075709779,0.575600519009749,0.6277680105271782,0.5738122239449086
KernelSVM,0.6908517350157729,0.6690689545794879,0.8114040616246498,0.6314772437315007
ExtraTree,0.6656151419558359,0.636197545741189,0.6767892069803835,0.6534183238072557
LinearSVM,0.7886435331230284,0.6860457416020446,0.6915132445501148,0.6969124722027199
Logistic,0.7570977917981072,0.6938539973141823,0.7338026637746526,0.6852894531631817
MultiNB,0.807570977917981,0.7729442529687993,0.7823112532873269,0.7859185435307726
Ensemble,0.7570977917981072,0.6877622635816566,0.7225556130826405,0.691581835163215
