Model,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro
Logistic,0.8881759853345554,0.8208355465999486,0.8881759853345554,0.8566382949161891,0.8881759853345554,0.8059580086045414,0.8881759853345554
KNN,0.8551787351054079,0.7797573282760514,0.8551787351054079,0.8236252199615415,0.8551787351054079,0.7598375922826975,0.8551787351054079
MultiNB,0.9092575618698442,0.8370174592036044,0.9092575618698442,0.8471957156242683,0.9092575618698442,0.8298903858742779,0.9092575618698442
RandomForest,0.8295142071494043,0.7810451310765587,0.8295142071494043,0.788852489227412,0.8295142071494043,0.7834461571104394,0.8295142071494043
Ensemble,0.8295142071494043,0.7810451310765587,0.8295142071494043,0.788852489227412,0.8295142071494043,0.7834461571104394,0.8295142071494043
