Model,Hyper_Parameter,f1_macro,accuracy,Training_Time (Seconds)
ExtraTree,"{'n_jobs': -1, 'max_depth': 70, 'n_estimators': 60, 'max_features': 0.3, 'class_weight': 'balanced'}",0.7142812908616233,0.6958969041623463,13.162859678268433
Logistic,{'C': 7.656},0.7778640084273103,0.7751444230484372,2.249194622039795
RandomForest,"{'n_jobs': -1, 'max_depth': 75, 'n_estimators': 15, 'max_features': 0.9}",0.7049349293060921,0.6898237298178048,7.274319648742676
LinearSVM,{'C': 0.461},0.779839546046239,0.7850688786846393,0.6411874294281006
MultiNB,{'alpha': 0.0344},0.7946270023675956,0.8013627610724338,0.08162069320678711
KNN,"{'weights': 'distance', 'n_neighbors': 28}",0.7257167863823082,0.7312990668049177,0.9857308864593506
KernelSVM,"{'C': 0.7, 'gamma': 0.6, 'kernel': 'rbf'}",0.6683441828651883,0.6450896163531329,30.239173889160156
