Model,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro
ExtraTree,0.8313473877176902,0.763343160511263,0.8313473877176902,0.7753461672365607,0.8313473877176902,0.7635038739881133,0.8313473877176902
LightGBM,0.8725939505041247,0.8003693649563243,0.8725939505041247,0.8443939178458613,0.8725939505041247,0.7784593253998751,0.8725939505041247
KNN,0.6700274977085243,0.6861476077467064,0.6700274977085243,0.7441263775294299,0.6700274977085243,0.7366639754833887,0.6700274977085243
LinearSVM,0.9010082493125573,0.8348156890798397,0.9010082493125573,0.8481406474110589,0.9010082493125573,0.8269706075403837,0.9010082493125573
MultiNB,0.9037580201649863,0.8320667083539338,0.9037580201649863,0.839215087521788,0.9037580201649863,0.8276609997633128,0.9037580201649863
Logistic,0.8854262144821264,0.8186311184756931,0.8854262144821264,0.8673178988331639,0.8854262144821264,0.7917330487167306,0.8854262144821264
RandomForest,0.8276810265811182,0.7807250275172725,0.8276810265811182,0.7932789421587895,0.8276810265811182,0.7728631776867204,0.8276810265811182
KernelSVM,0.8414298808432631,0.7783351694157193,0.8414298808432631,0.8780679724671079,0.8414298808432631,0.7221065630646817,0.8414298808432631
Ensemble,0.9065077910174152,0.835048582685642,0.9065077910174152,0.8767304235647398,0.9065077910174152,0.8133143569820921,0.9065077910174152
