Model,accuracy,f1_macro,f1_micro,precision_macro,precision_micro,recall_macro,recall_micro
RandomForest,0.8249312557286893,0.7856825582072485,0.8249312557286894,0.798309134792214,0.8249312557286893,0.7853850448573947,0.8249312557286893
KNN,0.8551787351054079,0.7797573282760514,0.8551787351054079,0.8236252199615415,0.8551787351054079,0.7598375922826975,0.8551787351054079
ExtraTree,0.8551787351054079,0.7636749231940928,0.8551787351054079,0.8440792961909018,0.8551787351054079,0.7225412682362223,0.8551787351054079
MultiNB,0.9092575618698442,0.8370174592036044,0.9092575618698442,0.8471957156242683,0.9092575618698442,0.8298903858742779,0.9092575618698442
LinearSVM,0.9083409715857012,0.8291404465155832,0.9083409715857012,0.8662014413576482,0.9083409715857012,0.8103523439931014,0.9083409715857012
LightGBM,0.8790100824931256,0.8026329707865295,0.8790100824931257,0.8521797210854004,0.8790100824931256,0.7786506480762814,0.8790100824931256
KernelSVM,0.8395967002749771,0.7417995576913549,0.8395967002749771,0.8367761079743986,0.8395967002749771,0.6861932148517259,0.8395967002749771
Logistic,0.8790100824931256,0.7805839107341331,0.8790100824931257,0.8361639096034875,0.8790100824931256,0.7455603516621465,0.8790100824931256
Ensemble,0.8790100824931256,0.7805839107341331,0.8790100824931257,0.8361639096034875,0.8790100824931256,0.7455603516621465,0.8790100824931256
