Model,accuracy,f1_macro,precision_macro,recall_macro
Logistic,0.7083333333333334,0.6781989955706513,0.7598483899984718,0.6723908730158731
KernelSVM,0.65625,0.6760658124591936,0.8325694993155945,0.6565218192540175
LightGBM,0.6388888888888888,0.549903050608288,0.6133988755716873,0.5593301714625244
ExtraTree,0.6423611111111112,0.607144472196381,0.6535896076259854,0.6193504901960785
KNN,0.6354166666666666,0.6269123202129914,0.7588155308743544,0.5872799119647859
LinearSVM,0.7326388888888888,0.6872432416407548,0.7410915459417514,0.7011111111111111
MultiNB,0.7951388888888888,0.7447853556794712,0.7891047325844589,0.761061507936508
RandomForest,0.6388888888888888,0.5791299163434492,0.6422484517464614,0.587156529278378
Ensemble,0.7326388888888888,0.6862912402859545,0.7514565897579403,0.6991818394024276
