Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.7002356692268508,0.6276614779030238,0.6276614779030238,1.9328336715698242
ExtraTree,"{'n_jobs': -1, 'class_weight': 'balanced', 'max_features': 0.3, 'n_estimators': 50, 'max_depth': 70}",0.861369101837421,0.8450527822508499,0.8450527822508499,33.44353151321411
MultiNB,{'alpha': 0.005},0.9062781374545618,0.9032027196278404,0.9032027196278404,0.39473748207092285
LightGBM,"{'max_depth': 50, 'n_estimators': 50, 'learning_rate': 0.2}",0.8727365580611232,0.8607979960636966,0.8607979960636966,237.74067497253418
KernelSVM,"{'C': 0.7, 'gamma': 0.4, 'kernel': 'rbf'}",0.8404633144523168,0.8064054392556808,0.8064054392556808,55.434911489486694
RandomForest,"{'n_jobs': -1, 'max_features': 0.8, 'n_estimators': 20, 'max_depth': 80}",0.8465872899591583,0.8303811057434246,0.8303811057434246,29.112897872924805
Logistic,{'C': 1.83},0.8986534637507642,0.8899624261943102,0.8899624261943102,7.153987169265747
LinearSVM,{'C': 1.43},0.9096699902482112,0.9057076400071569,0.9057076400071569,2.314537763595581
