Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
MultiNB,{'alpha': 0.005},0.7859974125611956,0.8553798018425169,0.8553798018425169,0.19016766548156738
LightGBM,"{'learning_rate': 0.2, 'max_depth': 50, 'n_estimators': 50}",0.6844955842647954,0.786893794541978,0.786893794541978,137.65113759040833
KernelSVM,"{'gamma': 0.4, 'kernel': 'rbf', 'C': 0.7}",0.6028132704053535,0.7257083260907353,0.7257083260907353,53.28717398643494
Logistic,{'C': 1.83},0.7187676525436647,0.8021901616547888,0.8021901616547888,5.8813488483428955
ExtraTree,"{'max_depth': 70, 'n_estimators': 50, 'max_features': 0.3, 'class_weight': 'balanced', 'n_jobs': -1}",0.7025926672262853,0.7622110203372153,0.7622110203372153,39.33621788024902
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.7326088190993729,0.7929775769163915,0.7929775769163915,2.2842366695404053
LinearSVM,{'C': 1.43},0.7826270443908226,0.8456457500434555,0.8456457500434555,2.2775797843933105
RandomForest,"{'max_depth': 80, 'n_estimators': 20, 'max_features': 0.8, 'n_jobs': -1}",0.6866445964707928,0.7689900921258473,0.7689900921258473,30.828696727752686
