Token,Num_Labels,Num_Occurrences
tp,22,3705
quc,22,3684
hoc,22,3644
tht,22,3635
vt,21,3579
qua,21,3525
nghip,22,3482
hay,21,3479
da,20,3462
dch,22,3377
cha,22,3327
quan,22,3277
sch,22,3263
gn,22,3256
khu,22,3243
do,22,3234
lnh,22,3201
gim,22,3135
cnh,22,3109
thn,22,3090
mm,20,3058
tch,21,3042
no,21,3029
yu,22,3018
va,22,3010
em,20,2996
php,21,2945
lu,21,2945
thu,22,2924
thch,20,2872
r,22,2856
lun,22,2781
trang,21,2763
ang,21,2743
mng,21,2708
lin,22,2702
st,22,2672
trung,22,2666
ci,21,2645
giao,21,2644
nay,22,2598
hu,22,2595
ngn,21,2559
nhin,22,2517
xy,20,2499
din,22,2457
tit,22,2377
khong,22,2370
phc,22,2368
dy,22,2365
thuc,22,2343
phi,22,2336
hoa,20,2299
hai,21,2284
la,22,2262
du,21,2244
tinh,20,2208
tay,21,2193
tri,20,2186
khin,20,2172
mua,21,2163
chm,21,2134
vc,21,2099
gp,22,2083
kinh,21,2058
ngay,22,2052
nghim,22,2042
cung_cp,21,2030
an_ton,21,2021
bao,21,2014
kch,20,2003
nhanh,21,1992
gy,21,1976
anh,22,1968
v_c,21,1950
nhau,22,1933
quy,22,1920
nhm,21,1885
doanh,21,1875
xem,22,1871
chin,19,1868
s_c,21,1867
chu,21,1805
gin,20,1803
nhp,21,1799
tuy,22,1798
nhit,19,1796
ct,21,1785
thut,21,1779
ba,22,1771
ly,21,1771
thin,22,1747
on,22,1743
truyn,21,1736
thp,22,1693
ngun,21,1692
sa,21,1683
mun,22,1671
xc,22,1669
khe,21,1656
tui,20,1645
so,22,1639
lt,21,1631
dnh,22,1596
vy,21,1596
ting,20,1593
chun,22,1592
bp,18,1589
d_n,20,1582
ta,21,1577
thay,21,1571
c_s,21,1568
cy,21,1568
chung,22,1565
chic,19,1559
p,22,1552
hot_ng,22,1532
minh,21,1529
lch,22,1524
quyt,22,1522
xe,21,1510
sang,21,1495
sut,22,1495
ngon,18,1484
gm,21,1482
phong,21,1470
thiu,21,1467
si,22,1441
nha,21,1435
kho,21,1431
gic,21,1405
hon,22,1398
pha,22,1395
cuc,21,1388
tuyn,20,1379
dung,21,1374
ring,21,1370
thanh,21,1367
kiu,21,1366
ngc,21,1351
bm,21,1348
km,21,1346
giy,21,1329
cao_cp,17,1328
chiu,21,1324
an,20,1319
ho,20,1316
thoi,21,1311
phiu,16,1304
ging,21,1295
ban,22,1290
thai,10,1290
nhc,21,1287
khon,21,1271
triu,22,1266
quyn,22,1256
nt,20,1246
ung,20,1236
nhim,21,1233
bu,20,1230
ngnh,20,1227
nhu_cu,21,1212
ming,18,1205
t_ng,22,1203
hm,21,1191
min,22,1173
hotline,11,1171
lo,21,1170
knh,20,1152
ngt,21,1150
chia,21,1135
chy,21,1111
v_sinh,18,1111
khai,20,1108
c_c,20,1104
sao,21,1101
khn,22,1089
dc,21,1087
tun,21,1082
tha,22,1075
gng,21,1071
kinh_doanh,19,1069
rau,12,1060
np,20,1055
xanh,19,1047
email,15,1037
bay,19,1024
tuyt,20,1020
thun,22,1020
nim,20,1019
ko,22,1003
gio,17,1002
gc,22,999
xng,21,988
tim,21,985
su,21,974
v_th,21,974
co,21,972
mu_sc,15,964
ml,9,946
na,21,946
yn,20,942
ai,21,916
lut,18,913
v_s,22,908
huyn,18,903
t_c,21,901
hoch,20,901
khun,21,893
hy,21,890
phin,20,883
l_mt,21,883
khm,20,881
xa,21,880
tham_gia,20,878
cui,22,878
ngm,21,877
rc,18,867
hon_ton,20,866
chp,21,866
nghin,21,861
ng_c,22,851
usb,6,842
sp,21,838
n_v,22,836
biu,21,834
tranh,21,832
n_c,21,819
l_c,21,802
sm,21,790
khp,21,787
xu,21,783
ma,21,780
tu,21,779
kem,9,774
git,17,765
au,17,764
vui,21,756
tphcm,18,754
xt,21,752
xp,22,751
gh,20,745
mui,16,742
by,21,741
dinh,12,740
ngha,21,737
xuyn,20,735
cam,22,734
tho,21,727
qung,21,725
danh,22,719
pin,13,717
trm,22,708
kim,21,706
tham,22,696
dm,18,695
banbientapicomvn,5,693
nghe,19,677
mong,19,667
hong,22,660
u_c,21,659
sung,21,653
bo_v,19,653
bui,20,650
uy,21,645
ghi,20,644
l_s,21,637
nguy,20,628
chim,21,627
siu,18,625
vai,20,624
may,20,621
dp,22,621
vitamin,9,614
t_v,20,607
khuyn,19,607
s_dng,20,603
xin,20,602
khoa,19,589
thong,19,588
him,22,588
loa,7,586
nga,20,584
linh,19,583
lan,20,579
t_l,21,565
kp,19,559
un,11,559
n_vi,21,556
rn,20,555
kim_tra,18,554
ga,16,553
qut,19,550
v_d,20,546
quen,20,546
long,21,541
mch,18,534
giai_on,19,533
v_vy,21,529
xun,20,524
trch,19,521
tai,21,520
v_ng,20,516
ngng,21,512
kg,14,511
p_ng,22,506
en,20,502
v_t,21,500
kn,20,500
cp,20,500
cun,20,497
chua,8,495
bs,7,492
hcm,15,491
t_nhin,16,490
giu,21,482
v_n,20,480
website,16,478
nui,17,472
ng_k,20,470
ri,20,470
inox,7,469
mu,16,467
cung,18,464
hip,17,461
mobile,7,457
v_v,21,456
xo,19,454
nghn,18,454
tai_nghe,5,453
kha,21,452
thao,18,450
tic,19,448
camera,8,448
nhi,15,447
bch,19,446
t_th,20,444
lau,12,444
c_v,20,440
nhy,19,431
s_l,20,425
trao,20,423
xong,21,419
sai,19,418
di,18,416
c_o,16,416
thai_nhi,4,416
t_n,21,413
go,15,411
t_t,20,410
v_l,20,410
ng_vi,22,410
l_v,21,410
nhun,19,409
xung,21,408
h_c,21,408
mai,21,405
v_b,21,402
chit,15,398
l_nh,20,398
ng_v,22,395
vnh,19,395
vi_s,21,394
lot,20,393
ro,21,393
ty_tnhh,15,392
online,14,390
phi_c,19,388
v_i,20,381
canh,13,377
huyt,16,374
vim,10,372
khung,18,371
duy,21,371
ru,18,371
p_mt,15,371
mu_m,14,370
huy,19,370
n_s,20,370
yt,12,369
bun,18,368
cha_c,20,367
l_vi,19,366
lao,18,359
dt,21,355
t_chc,19,353
xm,19,352
p_dng,19,351
vay,14,349
snh,21,348
song,18,344
omron,2,340
coi,20,339
mung,7,336
lai,20,334
k_c,20,332
gt,20,331
c_n,21,329
t_nh,20,328
dit,13,328
usd,16,327
h_s,21,326
non,17,324
t_cung,8,322
ch_u,8,321
vch,12,318
gr,7,315
ubnd,10,314
luyn,17,313
u_t,17,312
t_s,21,312
xay,7,311
v_p,18,311
the,14,307
kim_sot,19,307
phim,12,307
v_y,20,306
xinh,15,306
led,7,302
of,12,298
chut,16,297
ong,13,297
chui,17,297
tan,16,291
rm,17,291
quay,21,289
cao_su,8,289
treo,16,288
nhnh,19,287
s_sinh,10,286
khnh,13,286
di_chuyn,15,285
xung_quanh,19,283
v_cng,19,282
singapore,15,282
doanh_thu,14,282
l_th,21,281
chu_u,20,280
dao,15,279
trn_ton,20,278
lotus,7,277
thang,19,277
w,6,277
s_t,20,276
gamek,1,276
gam,10,273
n_th,17,271
thot,20,270
v_gia,18,269
v_h,20,265
luc,9,264
canxi,6,263
sensor,2,260
u_i,19,260
di_y,13,260
mts,1,259
cua,14,259
du_n,15,259
qunh,11,259
s_v,20,258
l_loi,17,257
rut,14,256
trt,20,255
ng_s,21,255
c_vi,21,255
nho,17,255
c_u,19,252
tro,19,251
n_u,21,249
e,19,249
vinh,18,249
sot,17,248
quang,18,246
kht,18,243
link,8,242
v_u,19,242
thanh_ton,14,242
top,19,241
nin,18,240
lit,17,238
mu_xanh,13,237
web,11,236
tra,18,236
ngang,21,235
hi_v,20,233
l_b,19,233
l_l,21,232
an_ninh,16,231
loan,15,231
mu_trng,14,229
phi_l,19,229
quanh,18,229
t_u,20,229
nng_cp,16,228
a_c,18,228
tung,18,227
ngo,13,226
cay,9,224
tel,5,224
mo,18,223
eo,14,223
v_k,19,223
hi_ng,16,222
nghi,19,221
s_n,20,221
phun,11,221
l_i,19,220
l_n,19,220
suy,19,220
du_lch,14,220
v_tr,19,217
buc,19,217
vietnam,12,215
smc,2,215
t_vn,18,214
p_v,16,214
k_n,18,213
chai,15,212
heo,12,212
vp,13,212
thoa,7,211
xi,17,211
rp,16,210
v_ang,19,210
ninh,15,210
t_d,15,210
kim_loi,10,209
duyn,9,209
ma_ng,17,208
s_k,15,208
nhuyn,9,208
hi_c,19,208
mobifone,4,207
h_thng,18,207
huynh,7,205
v_a,20,205
am,18,205
facebook,16,205
bluetooth,3,205
tre,11,204
xn,16,204
bo_co,13,203
h_vi,18,202
qui,15,201
l_t,20,201
t_vi,21,200
v_khng,20,200
chu_c,13,198
ng_cp,16,197
k_vi,19,196
t_nm,17,195
khu_th,11,195
vn_u,10,195
u_v,20,195
decal,2,195
pp,5,193
vung,14,192
vi_c,21,192
xch,16,192
locklock,2,192
phi_hp,20,192
try,8,190
mu_en,11,190
kw,4,190
hz,4,190
ngui,8,190
ui,20,190
p_lc,16,189
khoc,12,188
mu_vng,14,188
t_i,19,187
s_d,17,186
yaskawa,2,186
mp,14,186
hung,17,185
nam_c,20,185
city,8,185
n_l,20,185
sofa,6,184
pc,5,184
quan_n,17,183
drap,1,182
chng_ta,19,182
men,13,181
che,16,179
malaysia,16,179
s_y,13,176
u_th,21,174
v_thit,16,174
asean,11,174
v_o,16,173
c_a,17,171
tn_v,17,171
t_k,17,170
khoai,8,170
group,10,170
khoe,11,169
trit,19,169
trai,13,169
cafe,8,168
ng_thi,18,168
ng_n,19,168
xoay,16,168
micro,4,167
y_c,19,167
ch_vi,18,167
l_ng,19,167
chinh,16,166
l_a,16,166
k_v,20,166
ngho,15,165
cac,13,165
massage,5,164
socola,4,163
u_n,16,161
ghp,13,161
phi_i,18,161
u_vi,17,160
xcm,5,159
s_vi,17,159
n_n,18,159
tn_c,15,159
dai,11,158
chay,11,158
gch,11,158
ha_vi,17,158
li_vi,19,157
honda,7,157
phu,14,156
tru,12,156
v_vi,19,156
t_b,19,156
luminarc,1,155
h_tr,15,155
s_s,19,155
king,13,154
v_nh,17,154
duyt,15,154
gan,12,154
c_k,18,153
l_thi,18,153
hoi,18,153
plc,3,153
sy,15,152
kim_c,18,152
san,17,151
hlv,5,151
ton,17,150
server,3,150
t_h,20,148
ip,13,148
ua,16,148
c_cp,16,148
s_quan,19,148
iphone,5,147
set,6,146
thua,15,145
oxy,10,145
k_s,16,145
inh,19,144
ginh,15,144
v_ch,16,143
vang,16,142
mu_c,16,142
kia,18,142
rang,7,142
australia,13,142
viettel,4,141
cnc,4,141
gas,7,141
ri_ro,15,140
nam_v,18,140
bong,13,140
v_phong,17,140
truy_cp,11,139
v_gi,19,139
lon,13,139
lanaform,1,139
vv,10,138
v_thi,19,138
p_sut,8,137
autonics,2,137
than,19,137
gel,5,137
cong,11,136
l_nhng,17,136
khen,14,135
l_h,19,135
khuy,7,135
laser,5,135
hp_vi,19,135
model,6,135
da_c,11,134
th_vi,18,134
m_hy,6,134
v_tinh,16,134
vi_th,17,133
se,15,133
valve,4,133
tm_n,20,133
xon,9,132
mini,11,132
smartphone,9,132
ngp,16,132
bo_s,18,132
man,13,131
condotel,1,131
s_a,18,131
ii,17,130
k_ton,10,130
ts,13,129
mu_v,14,129
giai,17,129
gu,12,128
v_du,13,128
a_s,17,127
vi_vi,16,127
ftramart,1,127
hun,16,127
khng_c,21,127
thuyt,16,127
t_nht,18,126
virus,4,126
video,13,126
and,10,126
doosan,1,126
internet,15,125
v_sa,10,125
nph,2,125
cc_cp,13,125
keo,9,125
d_s,15,125
igbt,1,124
fanpage,7,124
android,6,124
ms,7,124
khit,10,124
s_th,20,123
melamine,3,123
l_d,19,123
gb,2,122
tnh_ton,14,122
s_ng,16,122
series,9,122
nguyt,11,122
ma_h,16,122
gameplay,1,121
vnindex,3,121
khu_vc,15,120
xoi,7,120
boss,4,120
t_y,16,120
v_thu,18,120
kng,10,119
nam_vi,17,119
hot,14,119
t_cng,16,119
vnpt,3,119
hoan,14,118
yamaha,4,118
s_la,15,117
n_y,17,117
tn_s,12,117
thpt,9,117
c_quan,16,117
ng_nai,12,116
dragon,5,116
thit_k,15,116
l_k,19,115
c_y,20,115
uyn,12,115
i_vi,15,115
laptop,6,115
b_di_ng,5,114
rnh,13,114
xoa,10,114
diu,15,114
coffee,7,114
qh,7,114
size,7,113
h_v,19,113
s_khng,17,113
kit,15,112
c_du,17,112
l_la,18,112
y_s,17,112
thay_i,16,112
cng_vi,18,111
tm_s,17,111
c_gia,17,111
bia,13,110
silicon,5,110
ma_p,2,110
bung,18,110
ng_th,17,110
skinfood,1,109
ven,8,109
da_v,9,109
pho,12,108
mu_hng,13,108
ku,17,108
c_trang,12,108
k_t,17,108
c_ch,14,108
hang,15,108
v_vic,14,107
jack,5,107
t_bt,10,107
v_cha,15,107
spa,8,107
t_ngy,19,106
t_trung,14,106
team,3,106
ng_y,18,106
ci_t,3,106
sennheiser,1,106
inch,8,106
t_ho,15,106
phi_n,17,106
con_trai,7,105
mr,8,105
ry,8,105
vdc,2,105
apple,7,105
n_nh,16,105
dlqg,1,104
th_hy,14,104
anker,1,104
ri_vo,18,104
soi,12,104
skin,4,103
mu_ca,15,103
s_loi,14,103
le,11,103
thanh_tra,10,103
shop,7,103
legends,1,103
l_ta,6,103
belkin,1,103
khuyt,13,103
tuyt_vi,15,102
gdt,5,102
v_hin,9,102
n_t,19,102
ch_n,14,101
richell,1,101
len,9,101
protein,5,101
vua,11,100
a_ch,8,100
rch,16,100
ht_sen,3,100
lung_linh,10,100
thuyn,11,100
t_hn,16,100
tnr,2,100
nhai,5,99
k_tinh,6,99
cotton,5,99
du_phong,2,98
horea,1,98
v_mt,19,98
ngu,15,98
h_tiu,5,98
t_nc,16,97
axit,6,97
edifier,1,97
p_c,12,97
phi_cng,15,97
league,3,97
khoai_lang,2,97
van,9,96
phi_chnh,9,96
khoan,13,96
v_dch,13,96
ti_vi,19,96
chu_o,15,96
v_my,11,96
httpbaoanjsccomvn,2,96
auto,5,95
v_cp,17,95
ao,12,95
hdpe,2,95
nghnh,15,95
di_c,17,95
cream,5,94
trang_web,8,94
khu_v,12,94
thip,15,94
nhung,12,93
airlines,5,93
pubg,1,93
a_khoa,9,93
beta,5,93
say,14,92
phi_ch,18,92
bo_c,16,92
hi_n,15,92
dim,10,92
bass,2,92
t_lnh,9,92
land,5,92
vi_n,17,92
thcs,6,91
fan,10,91
mu_khng,9,91
tem,8,91
download,5,91
khay,9,91
sonicgear,1,91
trung_cp,9,91
collagen,5,90
iii,12,90
n_gin,15,90
u_s,18,90
chocolate,4,90
ipad,6,90
n_i,18,89
mn_n,6,89
xingapo,3,89
ngoan,9,89
sim,6,89
hi_th,17,89
vacosi,1,88
kim_ton,5,88
phch,7,88
di_v,15,88
s_thy,15,88
son,10,88
s_i,19,88
t_nhng,17,88
abs,4,88
combo,5,88
de,9,88
di_hn,16,87
tham_quan,12,87
vi_i,9,87
hi_t,16,87
kali,6,86
mpa,2,86
nghch,13,86
v_nhn,14,86
lp_t,3,86
khu_t,11,86
h_ng,13,86
studio,6,86
phi_t,16,85
mdf,4,85
s_h,17,85
kim_dung,3,85
phanh,6,85
mah,2,85
canada,11,85
vtc,9,85
ch_c,17,85
ri_lon,12,84
google,11,84
h_i,12,84
mt_s,16,84
v_lu,16,84
l_iu,17,84
duplomatic,1,84
httpwwwdiadiemanuongnetvn,2,83
c_i,16,83
gia_vi,12,83
chu_v,15,83
khng_gian,7,83
gnh,14,83
survival,1,83
gtvt,5,83
l_cha,17,82
mmorpg,1,82
real,4,82
free,7,82
anh_em,11,82
minh_v,13,82
sunhouse,1,81
cbre,1,81
t_ln,14,81
na_v,12,81
di_s,16,81
coleman,2,81
cng_ty,12,81
hao,12,80
b_sung,14,80
item,2,80
koi,3,80
t_a,13,79
s_u,19,79
nhum,9,79
kts,4,79
mau,9,79
tot,8,79
acid,6,79
cng_c,18,79
xe_c,10,79
t_gia,19,79
phi_thc,16,79
khoi,8,79
phai,11,79
mu_ch,13,79
candle,2,78
pallet,1,78
card,3,78
chm_sc,3,78
ac,8,78
ubcknn,1,78
oan,12,78
v_quc,11,78
indonesia,12,78
london,7,78
quen_vi,8,78
phi_chng,11,78
laurelle,1,78
trang_thit,16,77
trung_thu,6,77
c_cng,14,77
t_hng,14,77
n_ung,13,77
vac,2,77
h_th,15,77
mu_tut,8,77
c_xp,15,77
hunh,16,77
chi_vi,12,77
nut,8,77
goldseason,1,77
khim,16,76
vali,3,76
mu_sn,7,76
mitsubishi,5,76
chong,12,76
leo,14,76
fdi,5,76
gai,12,76
skiip,1,76
mu_tm,9,76
a_phng,9,76
thon,7,76
nilon,7,76
q,8,76
lung,16,76
paraffin,1,76
h_lan,11,75
house,5,75
gia_v,7,75
mu_nu,11,75
h_gia,15,75
lightning,1,75
nem,4,75
phi_mt,14,75
kim_cng,10,75
h_n,14,74
t_quan,16,74
tivi,7,74
nghing,14,74
steam,2,74
l_du,11,74
khu_du,6,73
rung,13,73
nam_s,15,73
ch_s,11,73
victorinox,1,73
legend,4,73
mg,8,73
v_trng,15,73
duy_tr,13,73
v_tri,13,73
v_trang,14,73
xxcm,3,73
kim_tin,8,72
t_gi,16,72
h_tng,9,72
max,7,72
a_v,15,72
l_ngi,19,72
v_hng,16,72
details,2,72
v_lp,9,72
acv,2,72
air,6,72
delfi,1,72
nnh,9,72
p_t,14,71
ty_cp,9,71
nang,6,71
c_sa,9,71
clip,7,71
v_xp,6,71
cummins,1,71
t_tiu,12,71
bing,3,71
v_lm,14,71
ttgdck,1,71
v_trung,15,70
body,5,70
khiu,11,70
v_di,13,70
t_sa,10,70
hyundai,2,70
manga,1,70
food,7,70
v_thng,17,70
phat,8,70
hi_tho,11,70
phaner,1,70
can,17,70
blw,1,70
energizer,2,70
du_hiu,9,70
power,7,69
ios,3,69
h_t,14,69
garden,5,69
t_vong,6,69
q_tphcm,3,69
ak,5,69
mix,5,69
t_lu,15,69
n_ng,15,69
v_cn,12,69
k_thi,11,69
logo,9,69
p_nh,11,69
pgs,5,69
k_th,13,69
tha_canh,4,68
fpt,4,68
dng_c,12,68
emdep,1,68
t_thi,17,68
vani,5,68
t_ch,15,68
chu_k,9,68
thc_n,10,68
miss,5,68
rong,7,68
honh,14,68
twister,1,68
benfica,1,67
l_cng,15,67
ng_sn,2,67
nguy_c,11,67
c_tri,13,67
vinaphone,3,67
ri_mi,10,67
c_my,14,67
youtube,8,67
gamer,2,67
trinh,10,66
park,10,66
phi_lm,15,66
mu_ti,14,66
distributor,1,66
phi_v,15,66
marshmallow,3,66
boan,2,66
l_khng,15,66
nlg,1,66
guitar,6,66
s_gip,9,66
ning,2,66
v_quan,17,66
khz,2,66
update,5,66
ot,13,66
thoi_di_ng,10,66
tm_vi,16,65
con_em,6,65
v_tng,14,65
l_u,16,65
vngpht,3,65
nhu,12,65
s_thu,13,65
v_v_k,2,65
n_thi,15,65
oi,8,65
s_b,11,65
ung_th,6,65
zalo,7,65
beauty,2,65
pvp,2,64
pk,3,64
th_s,11,64
impression,1,64
pv,8,64
dong,10,64
white,6,64
v_thanh,13,64
xx,5,64
v_ti,14,64
lcd,4,64
ti_c,8,64
mu_hoc,11,64
jeans,2,63
loa_vi,1,63
t_tin,12,63
c_quy,7,63
new,10,63
dy_cp,6,63
xen,12,63
phi_p,15,63
eject,1,63
gingerbon,1,63
cha_s,6,63
click,6,63
lm_sch,4,63
war,2,63
tp_vi,6,62
phi_nh,15,62
bar,9,62
mode,4,62
hi_u,14,62
lam,12,62
l_yu,12,62
y_khoa,8,62
ng_h,11,62
murad,3,62
ree,1,62
menu,5,61
n_h,16,61
t_p,9,61
ri_b,9,61
bn_cp,4,61
c_nhiu,12,61
chuyn_gia,7,61
t_ti,15,61
trang_c,10,61
tin_n,15,61
n_nhng,11,61
t_trc,12,61
th_c,14,61
phi_tht,12,61
sui,11,61
gram,6,60
phi_thm,7,60
global,5,60
phi_s,18,60
cha_th,16,60
sony,2,60
l_kim,9,60
na_th,15,60
a_dng,12,60
v_hot_ng,15,60
tam_quc,1,60
ko_di,14,60
v_kim,15,60
hero,2,60
a_n,15,60
tablet,4,60
fax,6,59
yoga,5,59
champions,2,59
rim,4,59
kitkat,1,59
f,12,59
everon,2,59
techmate,1,59
ubl,1,59
laneige,1,59
v_hp,18,59
tea,4,59
h_h,10,59
tanh,6,59
red,8,59
v_thm,12,59
mu_nh,10,59
v_cung_cp,14,59
t_trn,19,59
ttck,1,59
stress,9,59
s_gia,12,59
skill,1,59
t_bo,8,59
p_nht,15,58
dip,9,58
mourinho,1,58
perfect,4,58
tang,9,58
gamev,1,58
cng_cp,13,58
l_hot_ng,11,58
v_hnh,14,58
clb,4,58
phi_ng,13,58
rules,1,58
n_sinh,8,58
t_cp,10,58
khn_cp,9,58
khoang,9,58
n_d,12,58
ty_s,9,58
ung_sa,4,58
t_chun,12,58
dpi,2,57
s_hu,13,57
hi_sinh,12,57
hd,7,57
khonh,13,57
black,6,57
hi_s,14,57
cacao,4,57
tha_c,8,57
tip_vi,7,57
t_tng,14,57
pet,3,56
v_bo,11,56
one,10,56
pvc,3,56
t_mt,14,56
v_dng,10,56
db,2,56
xe_my,10,56
kim_din,4,56
pokemon,1,56
ranh,8,56
tam,9,56
l_thu,8,56
di_nng,5,56
international,10,56
l_ch,18,56
v_ngi,13,56
im_n,11,56
t_thng,17,55
hpq,1,55
c_bit,16,55
chanh_hoc,3,55
samsung,9,55
xim,7,55
suzuki,2,55
full,7,55
l_thng,16,55
cn_c,13,55
vf,2,55
vu,15,55
m_c,16,55
apacer,1,55
gay,14,55
color,4,55
t_nha,6,55
p_lng,5,55
audio,1,55
windows,3,55
loang,5,54
v_la,15,54
resort,8,54
l_thit,11,54
vn_n,9,54
bhyt,3,54
ltthng,1,54
thi_ca,16,54
pa,7,54
ng_i,10,54
truy,12,54
li_ti,15,54
t_triu,11,54
thay_th,16,54
du_dng,8,54
living,4,54
chelsea,1,54
h_lao,1,54
mic,4,54
nam_trung,9,54
control,6,54
tm_c,13,54
ep,6,54
wwwhpqtechcom,1,54
s_cp,9,54
minh_c,11,53
thu_mua,7,53
ngi_ta,13,53
sx,6,53
taxi,10,53
ung_c,8,53
t_my,9,53
v_hon,12,53
v_ngt,5,53
homestay,2,53
laminate,2,53
tr_sa,3,53
h_l,15,53
blade,2,53
ba_n,6,53
k_u,13,53
mi_b,2,53
paris,10,53
vn_c,14,53
l_y,17,52
nhe,8,52
store,6,52
sushi,3,52
l_tng,16,52
buff,1,52
sandisk,1,52
iso,6,52
na_l,16,52
v_ly,13,52
s_kin,9,52
fishermans,1,52
hng_n,12,52
lu_di,11,52
khu_c,11,52
n_my,8,52
tealight,1,52
metro,2,52
n_a,10,52
t_khong,10,52
qr,1,52
kim_nhin,4,52
oanh,8,52
khng_b,2,51
mu_phi,2,51
que,4,51
nhan,9,51
p_vi,12,51
test,7,51
event,5,51
plus,9,51
c_ng,15,51
c_nhng,16,51
chanh,7,51
v_bn,13,51
b_sa,4,51
uv,4,51
iv,8,51
quc_gia,11,51
gaming,2,50
sen,8,50
t_du,12,50
schneider,2,50
phm_cp,5,50
phuc,7,50
cib,2,50
mu_t,10,50
kim_hip,1,50
operated,1,50
v_nhng,14,50
phi_tr,11,50
made,7,50
ri_mt,12,50
k_nng,5,50
chu_thi,9,50
open,7,50
world,8,50
v_vn,12,50
t_qun,13,50
sit,11,50
mu_cam,9,50
vs,4,50
mu_khc,9,50
ln_n,13,49
microtex,1,49
c_di,7,49
super,7,49
jbl,1,49
tiross,1,49
phi_ti,13,49
thoi_mi,9,49
n_thit,6,49
v_loi,13,49
p_n,14,49
trang_b,11,49
mcc,1,49
t_khng,13,49
t_mi,16,49
ll,5,49
v_bng,10,49
v_git,1,49
n_tri,9,49
ev,1,48
khuch,8,48
vcb,4,48
cuba,3,48
ang_c,15,48
c_ln,7,48
epsmdv,1,48
han,9,48
vut,9,48
tranh_vi,12,48
ng_t,13,48
ngun_cp,3,48
him_y,4,48
rao,12,48
l_cn,12,48
s_ch,14,48
mit,12,48
vn_vi,14,48
hoang,11,48
cty,5,48
s_lng,13,48
n_phong,8,48
lanh,9,48
pressure,3,48
savills,1,48
epsmra,1,48
th_cp,8,47
ri_v,16,47
u_u,14,47
t_o,11,47
nght,8,47
mili,1,47
t_ph,17,47
happy,5,47
th_ta,6,47
mu_o,6,47
boots,2,47
dream,4,47
lan_ta,11,47
t_nhn,10,47
tri_v,14,47
hot_cht,5,47
hack,2,47
me,8,47
v_mi,11,47
ra_tay,9,47
sohu,1,47
scla,2,46
vi_di,3,46
nung,8,46
driver,3,46
tranh_v,11,46
t_vic,12,46
t_tri,13,46
play,4,46
v_pht,11,46
mmen,2,46
vicdecor,1,46
t_hot_ng,10,46
tm_v,12,46
thi_gian,9,46
pe,4,46
friend,2,46
cfl,1,46
th_n,13,46
ion,6,46
phi_sn,8,46
brazil,6,46
sam,8,46
v_cay,5,46
c_b,10,46
t_ton,8,45
t_ngi,15,45
uncle,2,45
sexy,3,45
fb,7,45
tin_vi,17,45
b_n,6,45
hen,7,45
hi_vi,18,45
chip,6,45
mass,3,45
zojirushi,1,45
n_tng,14,45
