Token,Num_Labels,Num_Occurrences
c,22,49902
nh,22,36179
v,22,32455
cng,22,30722
m,22,29304
b,22,27023
cc,22,26924
ca,22,26877
cho,22,26600
th,22,25378
ng,22,24569
dng,22,23969
thng,22,22508
mt,22,22265
s,22,21621
bn,22,21466
ch,22,20680
ti,22,20200
khng,22,19838
t,22,19567
trong,22,19432
nhng,22,19070
sn,22,18275
l,22,17411
hng,22,17226
trng,22,16389
vi,22,16096
n,22,16096
tr,22,15941
tng,22,15744
gi,22,15141
mi,22,14885
i,22,14678
cn,22,14273
khi,22,14204
phm,22,12468
ngi,22,12278
ph,22,11473
tin,22,11308
thc,22,11163
u,22,10728
chng,22,10688
nng,22,10684
ni,22,10515
vn,22,10449
ln,22,10338
li,22,10299
hn,22,10192
lng,22,10132
nhiu,22,10076
ra,22,9964
trn,22,9697
cht,22,9672
nhn,22,9579
h,22,9541
hp,22,9526
nc,22,9504
lm,22,9390
nm,22,8979
qu,22,8899
phn,22,8815
thi,22,8770
hnh,22,8761
nn,22,8618
vo,22,8594
tc,22,8360
d,22,8211
kh,22,8152
ny,22,8071
bt,22,7988
thnh,22,7819
c_th,22,7771
nht,22,7757
theo,22,7727
bnh,22,7655
chn,22,7593
hin,22,7525
thm,22,7426
k,22,7313
phng,22,7220
bng,22,7144
bo,22,7126
tnh,22,7106
tm,22,7086
chnh,22,6896
pht,21,6847
mnh,22,6832
dn,22,6813
y,21,6597
cm,22,6545
tt,22,6540
rt,22,6475
hiu,22,6307
vic,22,6229
a,22,6177
chi,22,5770
sng,22,5757
qun,22,5648
hi,22,5612
tn,21,5598
x,22,5532
mc,22,5507
g,22,5486
to,22,5482
cao,22,5478
sau,22,5457
bit,22,5450
sc,22,5439
con,22,5425
mn,22,5370
trc,22,5361
lc,22,5324
vit,22,5280
cch,21,5245
khc,22,5117
chuyn,22,5112
thit,21,5063
gii,22,5017
ha,22,4927
bi,22,4881
iu,21,4846
cu,21,4839
ngy,22,4781
gia,22,4726
khch,22,4683
xut,22,4662
ngh,22,4660
trnh,22,4639
gian,21,4631
bc,22,4621
gip,21,4595
ngoi,22,4579
in,22,4432
ht,22,4377
vin,22,4371
ty,22,4311
nu,22,4228
nam,22,4168
my,22,4084
liu,21,4066
o,21,4043
kin,22,4021
im,22,4009
game,9,3999
rng,22,3997
loi,21,3983
vng,22,3963
thy,22,3940
lp,22,3914
hc,22,3905
sinh,22,3881
chc,22,3874
trin,22,3872
bin,22,3865
kt,22,3865
mang,21,3853
tiu,22,3846
nguyn,22,3826
tip,22,3729
