Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
MultiNB,{'alpha': 0.004},0.8402505824442537,0.9081239684577297,0.9081239684577297,0.3659703731536865
ExtraTree,"{'n_estimators': 50, 'n_jobs': -1, 'max_features': 0.3, 'max_depth': 70}",0.7513207703264138,0.847606821932881,0.847606821932881,64.77338218688965
KernelSVM,"{'kernel': 'rbf', 'gamma': 0.4, 'C': 0.7}",0.7235804781754367,0.8296350632679259,0.8296350632679259,100.92929816246033
LinearSVM,{'C': 1.1845},0.8368610470755813,0.9055565743627361,0.9055565743627361,4.1128692626953125
LightGBM,"{'n_estimators': 60, 'learning_rate': 0.2, 'max_depth': 60}",0.8004609919632524,0.8741976893453145,0.8741976893453145,304.9335162639618
Logistic,{'C': 1.83},0.7824324583353051,0.8762149275628095,0.8762149275628095,12.630754470825195
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.7956037007545332,0.8558591600953603,0.8558591600953603,3.235182285308838
RandomForest,"{'n_estimators': 20, 'n_jobs': -1, 'class_weight': 'balanced', 'max_features': 0.8, 'max_depth': 80}",0.7722652822128915,0.8311021456079223,0.8311021456079223,67.45758104324341
