Model,accuracy,f1_macro,precision_macro,recall_macro
KernelSVM,0.6908517350157729,0.6690689545794879,0.8114040616246498,0.6314772437315007
ExtraTree,0.6593059936908517,0.612947420612157,0.6512219262219262,0.6164422246631446
MultiNB,0.8107255520504731,0.7753270824247995,0.7849009743553086,0.7877042578164869
LightGBM,0.6498422712933754,0.5810614950250309,0.6554918055870202,0.5687954524835329
RandomForest,0.6435331230283912,0.5712710138957381,0.6197598024095186,0.5683467332461141
KNN,0.2082018927444795,0.2638891244279689,0.6499999999999999,0.1806648266594087
LinearSVM,0.7854889589905363,0.6834567680365432,0.6958605263558824,0.6906339468065474
Logistic,0.7570977917981072,0.6938539973141823,0.7338026637746526,0.6852894531631817
Ensemble,0.750788643533123,0.6859566938389955,0.729702176267118,0.6845284875083637
