Model,accuracy,f1_macro,precision_macro,recall_macro
Logistic,0.8854262144821264,0.8186311184756931,0.8673178988331639,0.7917330487167306
LinearSVM,0.9010082493125573,0.8348156890798397,0.8481406474110589,0.8269706075403837
KernelSVM,0.8414298808432631,0.7783351694157193,0.8780679724671079,0.7221065630646817
ExtraTree,0.8258478460128322,0.7679982739193277,0.7841795542576109,0.7688598845689788
KNN,0.6700274977085243,0.6861476077467064,0.7441263775294299,0.7366639754833887
MultiNB,0.9037580201649863,0.8320667083539338,0.839215087521788,0.8276609997633128
LightGBM,0.8725939505041247,0.8003693649563243,0.8443939178458613,0.7784593253998751
RandomForest,0.8313473877176902,0.7828632684436312,0.7970592278357252,0.7734869224873969
Ensemble,0.9019248395967002,0.8299404603147509,0.8712220009670539,0.8084112626893002
