Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.7492850542408096,0.7051339285714285,0.7051339285714285,2.3842055797576904
ExtraTree,"{'n_jobs': -1, 'max_features': 0.3, 'max_depth': 70, 'n_estimators': 50, 'class_weight': 'balanced'}",0.8887313044380035,0.8720982142857143,0.8720982142857143,85.514901638031
LinearSVM,{'C': 1.43},0.9372805289704405,0.9285714285714286,0.9285714285714286,5.109664678573608
KernelSVM,"{'gamma': 0.4, 'kernel': 'rbf', 'C': 0.7}",0.88575291542647,0.8582589285714286,0.8582589285714286,76.2796790599823
MultiNB,{'alpha': 0.005},0.9435999513289555,0.9352678571428571,0.9352678571428571,0.41797685623168945
RandomForest,"{'n_jobs': -1, 'max_features': 0.8, 'max_depth': 80, 'n_estimators': 20}",0.8766257020969048,0.8595982142857143,0.8595982142857143,93.2560203075409
Logistic,{'C': 1.83},0.9249162675445155,0.9122767857142857,0.9122767857142857,21.144429683685303
LightGBM,"{'learning_rate': 0.2, 'max_depth': 50, 'n_estimators': 50}",0.9063027277635233,0.8944196428571428,0.8944196428571428,381.5785937309265
