Model,accuracy,f1_macro,precision_macro,recall_macro
RandomForest,0.5362318840579711,0.4914416571344685,0.5308523696748708,0.5078129306642566
ExtraTree,0.5623188405797102,0.5083204529155624,0.5467512999180526,0.5310370715792037
MultiNB,0.6666666666666666,0.6226463256273221,0.6856092419064944,0.6529809194230105
Logistic,0.6028985507246377,0.5571204689554294,0.6367962414293701,0.5658727220865463
LinearSVM,0.6376811594202898,0.5808625767393035,0.6525095038522148,0.5970797212165497
KernelSVM,0.5565217391304348,0.556788935316964,0.7210431644379013,0.5458216899199871
LightGBM,0.5449275362318841,0.4906825100800562,0.5700107161862048,0.5124728745253042
KNN,0.5362318840579711,0.5353950752211503,0.6052266828010535,0.5106734226871525
Ensemble,0.6202898550724638,0.5920595042247071,0.6678386775718791,0.6060498840684599
