Model,accuracy,f1_macro,precision_macro,recall_macro
MultiNB,0.8012618296529969,0.7216811595553636,0.7461435596410689,0.735160886216835
RandomForest,0.6435331230283912,0.5644026327735049,0.6020662481069338,0.5709457338327307
LightGBM,0.6656151419558359,0.5626378826289817,0.6200114724168189,0.5764862717262098
KNN,0.61198738170347,0.6046795151410689,0.7118872521683527,0.5739525502876897
Logistic,0.7413249211356467,0.6802428561901405,0.7521294017770027,0.6708514377410884
ExtraTree,0.6782334384858044,0.5866253242784569,0.6268167948191872,0.5998650858944977
KernelSVM,0.6876971608832808,0.6795190305359611,0.8460033488642982,0.6514982096077298
LinearSVM,0.7570977917981072,0.6913345957666126,0.7266038489169847,0.7044483447900077
Ensemble,0.7697160883280757,0.7341301740396589,0.8051941771678613,0.7294218932512275
