Model,Hyper_Parameter,f1_macro,accuracy,Training_Time (Seconds)
LightGBM,"{'n_estimators': 50, 'learning_rate': 0.2, 'max_depth': 50}",0.8667437349475435,0.852935659350966,154.75852584838867
KNN,"{'weights': 'distance', 'n_neighbors': 1}",0.7675932099478568,0.7666479084599512,0.9790449142456055
ExtraTree,"{'n_estimators': 50, 'class_weight': 'balanced', 'n_jobs': -1, 'max_depth': 70, 'max_features': 0.3}",0.826884136246686,0.809979365972613,41.819751024246216
KernelSVM,"{'gamma': 0.4, 'kernel': 'rbf', 'C': 0.7}",0.8210497039253646,0.7863440255111611,44.42815351486206
LinearSVM,{'C': 0.85},0.9047741131669924,0.8962671168636278,1.9771575927734375
MultiNB,{'alpha': 0.0075},0.9077772876393236,0.9013318326767961,0.1880028247833252
Logistic,{'C': 1.87},0.8901834147418197,0.8752579253423373,5.758087873458862
RandomForest,"{'n_estimators': 20, 'n_jobs': -1, 'max_depth': 80, 'max_features': 0.8}",0.8402745268610265,0.8204839617332583,33.84574341773987
