Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
MultiNB,{'alpha': 0.004},0.8535288119762958,0.920907840440165,0.920907840440165,0.38375020027160645
LinearSVM,{'C': 1.1845},0.8463905817527225,0.911508482347547,0.911508482347547,3.392122268676758
Logistic,{'C': 1.83},0.8046065986586121,0.8812471343420449,0.8812471343420449,11.336867094039917
RandomForest,"{'class_weight': 'balanced', 'n_jobs': -1, 'n_estimators': 20, 'max_depth': 80, 'max_features': 0.8}",0.7827272434512803,0.8413571756075194,0.8413571756075194,47.92003583908081
