Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
RandomForest,"{'max_features': 0.8, 'n_jobs': -1, 'max_depth': 80, 'n_estimators': 20}",0.8791012281618837,0.8616071428571429,0.8616071428571429,49.10409498214722
ExtraTree,"{'max_features': 0.3, 'n_jobs': -1, 'max_depth': 70, 'class_weight': 'balanced', 'n_estimators': 50}",0.8865328879044774,0.8700892857142857,0.8700892857142857,68.56347894668579
MultiNB,{'alpha': 0.005},0.9435999513289555,0.9352678571428571,0.9352678571428571,0.3475828170776367
LinearSVM,{'C': 1.43},0.9372805289704405,0.9285714285714286,0.9285714285714286,4.470852375030518
LightGBM,"{'max_depth': 50, 'learning_rate': 0.2, 'n_estimators': 50}",0.9063027277635233,0.8944196428571428,0.8944196428571428,401.50188302993774
Logistic,{'C': 1.83},0.9249162675445155,0.9122767857142857,0.9122767857142857,11.948861837387085
KNN,"{'n_neighbors': 9, 'weights': 'distance'}",0.7492850542408096,0.7051339285714285,0.7051339285714285,2.324800491333008
KernelSVM,"{'kernel': 'rbf', 'gamma': 0.4, 'C': 0.7}",0.88575291542647,0.8582589285714286,0.8582589285714286,76.74178791046143
