Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
KernelSVM,"{'gamma': 0.4, 'kernel': 'rbf', 'C': 0.7}",0.7016440331978596,0.8170563961485557,0.8170563961485557,75.746497631073
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.7987688425724054,0.8663457129756992,0.8663457129756992,2.24010968208313
LightGBM,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.2}",0.8045277438529614,0.8789546079779917,0.8789546079779917,223.11515760421753
Logistic,{'C': 1.83},0.8046065986586121,0.8812471343420449,0.8812471343420449,13.024702072143555
MultiNB,{'alpha': 0.004},0.8535288119762958,0.920907840440165,0.920907840440165,0.40065860748291016
ExtraTree,"{'n_estimators': 50, 'n_jobs': -1, 'max_features': 0.3, 'max_depth': 70}",0.7729340970010777,0.8553415864282439,0.8553415864282439,69.80917048454285
RandomForest,"{'n_estimators': 20, 'class_weight': 'balanced', 'n_jobs': -1, 'max_features': 0.8, 'max_depth': 80}",0.7811601426151569,0.8431911966987621,0.8431911966987621,60.642250776290894
LinearSVM,{'C': 1.1845},0.8463905817527225,0.911508482347547,0.911508482347547,3.4463961124420166
