Model,Hyper_Parameter,f1_macro,f1_micro,accuracy,Training_Time (Seconds)
ExtraTree,"{'n_estimators': 50, 'n_jobs': -1, 'class_weight': 'balanced', 'max_depth': 70, 'max_features': 0.3}",0.8565856346143359,0.8408298145768313,0.8408298145768313,38.32584834098816
KNN,"{'weights': 'distance', 'n_neighbors': 9}",0.691920865390895,0.6282357260877547,0.6282357260877547,2.1664681434631348
RandomForest,"{'n_estimators': 20, 'n_jobs': -1, 'max_depth': 80, 'max_features': 0.8}",0.8514997867409438,0.834955021112539,0.834955021112539,30.947669506072998
MultiNB,{'alpha': 0.005},0.903117436430617,0.9001285111070314,0.9001285111070314,0.19380831718444824
Logistic,{'C': 1.83},0.8972095197551991,0.8892968606572426,0.8892968606572426,5.445630311965942
KernelSVM,"{'C': 0.7, 'kernel': 'rbf', 'gamma': 0.4}",0.8428717248121631,0.8081512759317055,0.8081512759317055,48.129640102386475
LightGBM,"{'n_estimators': 50, 'learning_rate': 0.2, 'max_depth': 50}",0.8682360831440434,0.8562511474205985,0.8562511474205985,314.2396192550659
LinearSVM,{'C': 1.43},0.9026419746906778,0.8977418762621626,0.8977418762621626,3.583246946334839
