Model,Hyper_Parameter,f1_macro,accuracy,Training_Time (Seconds)
Logistic,{'C': 1.87},0.8623705754977052,0.8524236387782205,6.244099140167236
LinearSVM,{'C': 0.85},0.8698268222494017,0.8660358565737052,2.3072397708892822
MultiNB,{'alpha': 0.0075},0.867244847205863,0.8655378486055777,0.19795441627502441
KNN,"{'weights': 'distance', 'n_neighbors': 1}",0.651264486729127,0.5622509960159362,1.2531094551086426
ExtraTree,"{'n_jobs': -1, 'max_depth': 70, 'class_weight': 'balanced', 'n_estimators': 50, 'max_features': 0.3}",0.811837994963828,0.7929946879150066,55.35240364074707
LightGBM,"{'n_estimators': 50, 'learning_rate': 0.2, 'max_depth': 50}",0.8132877924147112,0.8061088977423638,413.9206278324127
RandomForest,"{'n_jobs': -1, 'max_depth': 80, 'n_estimators': 20, 'max_features': 0.8}",0.7954672216896866,0.7783864541832669,38.69411277770996
KernelSVM,"{'gamma': 0.4, 'C': 0.7, 'kernel': 'rbf'}",0.8093840928585614,0.7735723771580345,49.89361333847046
