Token,Num_Labels,Num_Occurrences
bhxh,3,3576
bhyt,3,1597
căn_hộ,9,1286
hương_vị,9,940
nướng,10,749
usb,4,744
bảo_hành,10,728
hành_khách,9,674
tướng,9,668
thủ_tướng,10,659
tôm,10,616
tel,5,607
gia_vị,8,606
giáo_viên,10,594
bệnh_nhân,10,579
vitamin,10,574
váy,9,556
viễn_thông,10,553
thuê_bao,5,552
cộng_tác,8,549
bài_vở,7,539
banbientapicomvn,6,538
người_bệnh,6,522
ubnd,10,522
bảo_hiểm_xã_hội,4,508
thực_khách,4,505
nhà_trường,10,502
chiên,10,492
quy_hoạch,10,488
giòn,6,480
quý_khách,10,464
lẩu,6,459
sofa,6,458
dặm,7,457
inox,8,455
ốc,9,449
ớt,9,447
đun,8,438
thìa,8,434
năm_học,6,431
muỗng,6,428
nghỉ_dưỡng,10,425
sôi,8,419
bún,5,418
vận_tải,10,412
hàng_không,9,410
viettel,5,405
thun,5,404
cay,9,403
sgk,1,398
nến,8,397
đồ_dùng,10,387
chảo,8,381
cháo,9,381
trung_ương,9,378
tai_nghe,5,378
gr,10,376
bú,5,371
dừa,10,366
phát_điện,8,365
chung_cư,9,361
lãi_suất,7,361
airlines,10,361
dưỡng,9,359
quốc_hội,8,359
gừng,6,353
luộc,8,351
dn,8,351
heo,9,349
mobile,6,348
man,8,346
cảm_biến,5,346
quý_khách_hàng,8,343
bđs,5,342
trận_đấu,10,341
tiêm,7,340
thai_nhi,4,337
dung_tích,10,336
tiểu_học,9,335
tự_nguyện,7,335
nêm,7,334
đảng,8,334
viêm,10,331
tài_xế,7,330
thực_đơn,7,327
khai_giảng,2,322
mỹ_phẩm,10,321
html,4,321
tỏi,5,318
xay,10,312
biệt_thự,10,311
tinh_dầu,6,310
tần,6,305
cầu_thủ,9,305
đậm_đà,6,304
nệm,6,300
bơ,7,298
gdđt,7,295
đồng_phục,9,295
hiv,4,293
ban_hành,10,292
ngực,10,292
nước_hoa,7,290
thanh_tra,10,289
chua,8,289
tử_cung,3,286
nghị_quyết,9,284
nghị_định,10,283
ướp,5,282
vịt,9,282
coffee,5,279
vách,9,279
cải_cách,10,279
hlv,8,277
nước_mắm,5,277
băm,4,273
ván,6,272
hấp,8,272
omron,2,270
bảo_hiểm_tế,5,270
chén,8,270
hải_sản,10,269
ndđt,3,267
mts,2,262
sensor,2,259
tuyên_truyền,9,257
rà_soát,10,256
mobifone,3,255
chiết_xuất,8,255
quạt,8,254
cà_chua,9,253
cấp_cứu,8,251
đầm,10,249
dung_lượng,9,248
xốp,10,248
trang_điểm,9,247
chay,10,246
giám_định,4,243
mụn,8,242
nlđ,2,242
phở,5,239
trợ_cấp,6,237
tử_vong,10,237
bảo_an,6,237
tế_bào,10,236
đh,7,236
kcb,2,236
cà_rốt,5,236
nàng,9,231
set,8,229
sim,7,228
thi_đấu,10,228
canxi,5,228
sơ_sinh,9,227
ronaldo,5,226
chả,10,223
hiệu_trưởng,6,219
vnpt,1,219
thí_sinh,8,218
cao_tốc,6,216
tiêu_hóa,10,216
thông_tư,8,215
lotus,5,215
thất_nghiệp,6,213
nhuyễn,7,213
tiền_lương,8,213
hoa_hậu,4,211
chiến_thuật,8,211
đường_bay,5,210
mổ,10,208
tỉnh_thành_phố,9,207
thoa,9,207
chính_quyền,8,206
sỉ,6,206
nhà_mạng,2,205
áo_dài,9,205
ngon_miệng,8,204
diễn_viên,8,203
bamboo,2,203
dưỡng_chất,6,203
chậu,8,202
gia_công,10,202
garden,4,201
tiêm_chủng,3,201
phô_mai,4,200
diệt,9,200
gamek,1,200
cước,9,199
mỡ,10,198
massage,10,198
nhnn,3,198
iphone,7,198
đồng_chí,6,196
nước_dùng,6,196
real,5,195
ốp,10,195
đa_khoa,9,195
thứ_trưởng,8,194
vietjet,4,193
acv,4,193
đội_hình,2,192
airways,2,191
đề_án,9,190
decal,5,190
hưu_trí,2,188
tỉ,9,187
mặn,10,187
bs,7,185
rang,9,185
tân_phú,10,183
league,4,182
thcs,6,182
khử,10,182
khẩu_vị,7,179
ms,10,179
đại_biểu,9,178
tọa_lạc,9,178
bluetooth,4,177
kẹo,8,176
sởi,4,175
utd,1,174
mốt,7,174
nhà_bếp,9,174
chẩn_đoán,9,174
cảnh_quan,9,173
mường,9,173
chiến_đấu,10,172
sản_phẩm_chất_liệu,3,172
chịu_nhiệt,8,172
cải,10,171
đậy,9,170
tỷ_giá,7,169
đặc_sản,10,165
súp,6,165
dáng,9,164
thu_mua,9,164
air,9,163
mr,10,163
xịt,9,163
size,8,163
dạ_dày,7,163
bánh_mì,7,162
chần,5,162
land,5,161
vi_khuẩn,9,160
nguyên_chất,9,160
gia_dụng,8,160
sả,6,160
đồ_họa,5,160
khoai_lang,6,159
thanh_lý,9,158
tưới,7,157
cơ_cấu,10,157
cài_đặt,10,156
vặt,10,155
đấu_thầu,10,155
nhập_vai,2,155
pc,8,154
hz,4,154
thần,10,154
áo_khoác,8,154
ngọt_ngào,9,153
gỉ,6,153
chà,10,153
nhà_ga,7,152
smc,3,152
dẻo,9,152
gtvt,7,152
ấm_cúng,8,151
cổ_phiếu,8,151
cổ_đông,9,151
drap,3,151
xét_nghiệm,8,151
vi_sóng,5,150
táo,10,150
cúm,7,149
cô_giáo,6,149
khuấy,6,148
mật_ong,7,148
vinaphone,3,148
mặt_nạ,8,147
hô_hấp,10,147
vớt,8,147
học_trò,6,147
socola,4,147
apple,9,146
nước_cốt,4,146
hđqt,8,146
bệnh_nhi,4,146
pv,10,145
yến_mạch,5,145
tour,8,145
tinh_chất,5,145
hình_sự,8,145
địa_ốc,2,145
người_mẫu,7,144
bảo_hộ,10,144
côn_trùng,9,144
chè,10,144
tương_thích,6,144
trọng_điểm,10,144
miễn_dịch,9,144
khuôn,10,142
xơ,10,142
hiến,7,142
tăng_giá,10,142
sữa_chua,4,141
mặt_tiền,7,141
resort,9,140
kỷ_luật,10,140
micro,6,140
đội_tuyển,9,140
bể,10,139
hà_đông,8,139
kiến_trúc_sư,7,139
flc,4,139
đùi,7,139
bộ_máy,10,139
phi_công,6,138
giải_đấu,9,138
locklock,3,137
olympic,9,137
champions,2,137
rán,6,137
bổ_dưỡng,6,136
cầu_thang,9,136
sứ,10,136
zalo,9,136
phanh,9,136
danh_hiệu,9,136
bắp,9,136
vnđ,10,135
chuyển_nhượng,10,135
kiến_nghị,10,135
quầy,10,134
phó_giám_đốc,10,134
hạ_long,10,134
mứt,7,134
dự_thảo,9,134
tay_vợt,2,133
yamaha,5,133
bài_tập,4,132
hủ_tiếu,4,132
thực_vật,10,132
địch,5,132
chất_béo,9,132
gb,3,131
hạ_cánh,5,131
kts,5,131
tàu_bay,3,131
môi_giới,10,131
cotton,6,131
mourinho,1,131
quốc_phòng,8,130
vaccine,3,130
phú_quốc,9,130
sữa_tươi,5,129
mắm,6,129
tim_mạch,9,129
gợi_cảm,7,129
nội_trú,5,129
tần_số,7,129
măng,8,129
ngấm,9,128
cọ,10,128
xoắn,9,128
xôi,7,128
nhậu,6,127
pp,6,127
lưu_trú,5,127
xcm,6,127
yaskawa,2,126
đầu_bếp,6,126
bể_bơi,7,125
chelsea,2,125
bv,3,125
ngành_hàng,9,125
khoảng_tỷ,10,125
thêu,6,125
xe_khách,9,125
hòa_quyện,9,125
xe_tải,10,124
bánh_xèo,4,124
giấm,4,124
igbt,1,124
bỉm,4,124
lốp,6,123
nguyễn_xuân,9,123
lưu_lượng,10,122
nhồi,9,122
chấp_hành,9,122
tâm_thần,10,122
luminarc,1,122
khuyến_mại,10,122
ðiều,7,121
dragon,6,121
bánh_trôi,2,121
dịch_bệnh,7,121
syria,7,121
thu_thập,10,121
model,9,120
postsmuabantonghop,3,120
golf,7,120
phó_tổng_giám_đốc,5,120
rắc,10,120
lanaform,1,120
bh,1,120
virus,6,120
nếm,6,120
karaoke,5,120
vướng_mắc,8,120
thí_điểm,8,120
quỳnh,9,120
vắt,6,119
android,8,119
bê_tông,9,119
mắm_tôm,4,119
len,8,119
bhtn,1,119
khô_ráo,9,118
th,10,118
cup,8,118
chua_ngọt,4,118
triệu_chứng,9,117
thể_loại,8,117
nhà_đất,6,117
tỷ_số,8,117
salon,8,117
không_gỉ,6,117
tài_nguyên,10,116
máy_lạnh,8,116
cấu_tạo,8,116
ốm_đau,5,116
cntt,5,116
xoài,7,116
mã_số,9,116
sư_phạm,3,116
sinh_tố,4,116
độ_ẩm,9,115
condotel,1,115
túi_xách,9,115
rèm,7,115
hữu_nghị,10,115
mã_lực,3,115
đặc_tính,10,114
plc,3,114
tuyển_sinh,7,114
sáp_nhập,8,114
thẩm_quyền,10,114
xù,9,114
quảng_ngãi,9,113
ngậy,4,113
pacific,7,113
dễ_thương,10,113
ký_kết,10,113
chùi,3,112
đường_nét,10,112
hiện_trường,10,112
đồng_đội,8,112
khay,10,112
biến_dạng,10,112
hành_tây,4,112
dưa,7,112
cuộc_gọi,7,112
sáp,9,112
gas,10,112
dlqg,1,112
mùi_vị,7,111
container,8,111
rong,7,111
juventus,2,111
jetstar,2,111
tnr,1,111
gỏi,4,110
cnc,5,110
xuất_bản,9,110
sầu_riêng,6,110
gameplay,1,110
khoai_tây,8,110
vi_tính,7,110
webadsarticlemiddle,1,110
undefined,1,109
nôn,5,109
trọn_gói,10,109
clb,6,109
báo_giá,10,109
ismobiletry,1,109
đường_bộ,10,108
lây_nhiễm,6,108
catch,1,108
miến,7,108
cưỡng,7,108
bí_đỏ,3,108
hạt_tiêu,7,108
ong,10,108
autonics,2,107
sky,6,107
bí,10,107
house,8,107
biến_chứng,5,107
dứa,8,107
họng,10,107
sinh_tồn,4,106
server,3,106
bánh_xe,8,106
tân_bình,9,106
xăng,9,106
thúy,10,106
xông,10,106
nph,1,106
pha_chế,7,106
hoa_văn,5,106
nấm_hương,3,106
london,9,106
khoáng_chất,8,106
sunshine,2,105
tottenham,1,105
đt,9,105
điện_áp,4,105
hyundai,3,105
trầy_xước,9,105
lõi,10,105
nđcp,8,105
liverpool,1,105
đính,8,104
tốt_nghiệp,8,104
phụ_cấp,3,104
pallet,2,104
chiết_khấu,9,104
chấn_thương,10,104
boss,4,104
laptop,7,104
lụa,10,104
tẩm,7,103
tea,4,103
bọt,10,103
bổ,10,103
đòn,8,103
nhiễm_trùng,6,102
thận,10,102
nữ_tính,4,102
tổ_hợp,10,102
huyết_áp,9,102
nhập_viện,7,102
qh,8,102
gốm,9,102
bmw,4,102
xà_phòng,7,102
mịn_màng,9,102
lọ,10,102
họa_tiết,9,102
bồi_dưỡng,9,101
show,8,101
series,9,101
no,7,101
café,10,101
sơ_chế,8,101
sỹ,8,101
sét,8,100
nám,2,100
thi_hành,8,100
dung_dịch,8,100
nồng,7,100
đạp,10,100
thông_dụng,10,99
đạm,6,99
hẻm,7,99
quy_cách,9,99
tranh_chấp,9,98
thủ_môn,3,98
dịu_dàng,8,98
ngoại_hạng,2,98
chuyên_khoa,7,98
doosan,2,98
richell,1,98
sennheiser,1,98
vóc_dáng,8,98
bệnh_tật,10,97
xinh_xắn,8,97
giờ_phút,10,97
gầm,7,97
cách_nhiệt,7,97
mậu,10,97
horea,1,97
mạng_di_động,3,97
tài_năng,10,97
đồ_đạc,9,97
bánh_quế,2,97
giã,6,96
khẩn_trương,8,96
mâm,9,96
ghi_bàn,4,96
ftramart,1,96
thương_vụ,8,96
con_em,10,96
sun,7,96
ẩm_mốc,6,96
bền_màu,4,96
bạc_hà,6,96
tĩnh_điện,6,96
mệnh,7,96
chứng_khoán,10,96
bo,10,96
điều_lệ,8,95
belkin,1,95
laser,7,95
lành_nghề,9,95
nghiệp_vụ,10,95
hợp_kim,5,95
nước_lạnh,6,95
abs,6,95
đậu_xanh,4,94
silicon,6,94
paris,10,94
kmh,4,94
vắcxin,2,94
skinfood,1,94
thảm_đỏ,4,94
giáo_khoa,2,94
nhờn,7,93
anker,1,93
quỳnh_trang,5,93
bank,6,93
protein,6,93
cổ_phần_hóa,6,93
dị_ứng,8,93
suy,10,93
yên_tĩnh,10,93
đấu,8,93
jack,6,93
cục_trưởng,8,93
pgsts,8,93
nhặt,9,92
cốt_truyện,3,92
loãng,9,92
nhăn,8,92
lầu,9,92
bồi_thường,10,92
lạ_miệng,3,92
ngán,6,92
cao_tầng,9,92
sx,8,92
xe_buýt,9,91
mè,5,91
vệ_tinh,9,91
hành_lý,7,91
công_sở,10,91
chocolate,5,91
dân_dã,8,91
dầu_mỡ,8,91
siêu_âm,7,90
tt,9,90
federer,1,90
gel,7,90
cất_cánh,4,90
ford,4,90
lừa_đảo,7,90
quảng_bình,10,90
xác_minh,8,90
thai_sản,2,89
liên_quân,4,89
đề_kháng,7,89
hũ,6,89
va_đập,9,89
vịnh,9,89
ranh,5,89
combo,7,89
asiad,7,89
bảo_mật,10,89
đồng_bào,7,89
tiền_đạo,4,88
nilon,10,88
barca,1,88
mỹ_thuật,7,88
sản_phụ,3,88
muỗi,6,88
bình_thạnh,10,88
đắng,9,88
mah,3,88
vặn,7,87
lập_trình,8,87
nấu_nướng,9,87
viên_chức,7,87
cáp_quang,1,87
bã,8,87
gọn_nhẹ,8,87
công_văn,10,87
biên_chế,6,87
skin,5,87
ngũ_hổ,1,87
nlð,1,87
khoai,7,86
tô_điểm,10,86
thục,5,86
mặt_đất,10,86
menu,6,86
