Token,Num_Labels,Num_Occurrences
học_bổng,7,86
xingapo,4,86
rối_loạn,10,86
campuchia,9,86
tuất,10,86
cường_lực,7,86
sushi,4,85
rau_muống,6,85
tồn_kho,8,85
auto,5,85
tình_dục,10,85
wifi,8,85
áp_suất,9,85
bánh_canh,3,85
world_cup,6,85
vòngphút,5,85
bộ_nhớ,5,85
tham_gia_bảo_hiểm_xã_hội,1,85
fdi,5,84
melamine,4,84
olympia,2,84
hân,10,84
messi,2,84
chào_bán,9,84
phòng_bệnh,3,84
vp,4,84
analog,5,84
bán_kết,8,84
bán_trú,2,84
vdc,3,84
hân_hạnh,7,84
du_phong,1,84
thiện,10,83
toát,8,83
nhâm_nhi,5,83
cung_cấp_thiết_bị,3,83
thang_máy,9,83
cbre,1,83
tạng,7,83
trung_cấp,5,83
chiếm_đoạt,8,83
djokovic,1,83
team,6,83
nhai,7,82
nghĩa_vụ,10,82
ngũ_cốc,6,82
cào,9,82
tiền_vệ,4,82
định_vị,10,82
oanh,9,82
axit,6,81
nhà_thầu,8,81
đạt_tỷ,8,81
lưỡi,9,81
lữ_hành,5,81
chân_lông,4,81
khởi_công,6,81
họa,8,81
gọt,8,81
rim,4,81
kích_ứng,4,81
ba_chỉ,4,81
tpo,1,80
mỹ_nhân,5,80
rây,3,80
nano,7,80
koi,1,80
lau_chùi,6,80
kali,7,80
trang_sức,7,80
làm_quà,9,80
ốm,10,80
thùy,8,80
nghiền,10,79
riêng_tư,10,79
dứt_điểm,10,79
sẹo,6,79
cá_hồi,4,79
sát_thương,2,79
công_lập,7,79
đầu_ra,9,79
lưu_hành,8,79
căn_bệnh,9,79
vị_giác,7,79
nước_chấm,3,79
dĩ,9,79
mỳ,8,79
nguyễn_hoàng,7,79
toyota,5,79
hải_quan,9,79
tái_tạo,10,79
cành,7,79
beta,6,78
tái_cơ_cấu,8,78
thuyền,10,78
ship,6,78
kỹ_thuật_số,9,78
nộ,2,78
đèn_pha,4,78
nhuộm,10,78
laurelle,1,78
coleman,3,78
nước_lọc,6,78
nghỉ_việc,6,78
saigon,7,78
nhúng,9,78
di_sản,8,78
mật,10,78
bảo_tồn,9,78
nm,4,78
vtc,9,78
phát_sóng,8,78
võ_gia,1,78
shophouse,1,78
đảm_bảo_vệ_sinh,8,77
nang,9,77
giảng_dạy,10,77
ăn_không,9,77
japan,7,77
cấp_ủy,4,77
trang_chủ,8,77
nóng_hổi,7,77
ban_công,7,77
rau_câu,4,77
nón,8,77
cao_đẳng,9,77
khuê,7,77
item,2,77
tổng_đài,7,77
thương_binh,4,77
liên_hợp,9,77
tiêu_chảy,5,77
nhà_kính,5,77
mercedes,5,77
lạt,9,77
bình_chánh,6,77
cá_chép,5,77
tứ_kết,6,76
đàn_hồi,8,76
điều_luật,6,76
tiếp_viên,4,76
ws,1,76
vật_tư,10,76
tm,7,76
sơ_mi,5,76
bổ_nhiệm,8,76
ipad,9,76
mdf,5,76
tỷ_trọng,6,76
vacosi,1,76
fpt,7,76
jeans,3,76
bass,3,76
skiip,1,76
tội_phạm,10,76
chủ_trì,10,76
collagen,4,76
thấu,10,76
tham_nhũng,7,75
phâm,9,75
nhà_xưởng,10,75
chì,10,75
nghìn_tỷ,7,75
khương,10,75
lâm_sàng,7,75
ren,6,75
thường_vụ,6,75
chân_không,8,75
uyên,9,75
phân_bổ,10,75
sai_phạm,8,75
card,6,75
ksnk,1,75
di_tích,4,75
công_ty_cp,8,75
đất_đai,7,75
pvc,5,75
tiểu_đường,8,75
nội_trợ,10,75
công_chức,6,75
bồ,10,75
mhz,2,74
bánh_tráng,3,74
lạ_mắt,10,74
power,8,74
tiền_tệ,10,74
chun,2,74
tổng_bí_thư,5,74
tải_trọng,8,74
quái,4,74
cao_tuổi,9,74
đu_đủ,6,74
linh_kiện,7,74
cacao,4,74
cổ_động_viên,6,74
view,8,74
ếch,5,74
đác,6,74
đắc_địa,6,74
suzuki,2,74
thủ_đức,8,73
trưởng_phòng,10,73
đối_thoại,8,73
tài_trợ,10,73
phật,8,73
liêm,10,73
làm_quen,10,73
chảy_máu,7,73
ti,5,73
bàn_chân,9,73
reuters,8,73
trúc,10,73
đại_sứ,10,73
cream,4,72
sport,6,72
hấp_thu,8,72
phân_giải,7,72
vnd,8,72
gu,10,72
kẽm,7,72
edifier,1,72
táo_bón,4,72
trục_lợi,6,72
bot,4,72
delfi,1,72
định_mức,7,72
sunhouse,1,72
mômen,3,72
tình_nguyện,9,72
múc,5,72
đảng_viên,4,72
đường_băng,6,72
nội_soi,4,72
ac,10,72
bidv,4,72
cỗ,10,72
nem,5,71
mượt,8,71
giếng,8,71
hộp_số,2,71
ðồng,5,71
thảo_dược,8,71
trâm,6,71
động_thái,10,71
đũa,8,71
lấu,2,71
kháng_sinh,6,71
download,5,71
bánh_chay,1,71
lcd,7,71
bún_bò,2,70
nhiễm_khuẩn,7,70
người_nhà,10,70
công_dân,10,70
mmorpg,1,70
httpbaoanjsccomvn,2,70
goldseason,1,70
thẩm_thấu,6,70
bảo_hiểm_thất_nghiệp,1,70
bệnh_án,2,70
học_phí,7,70
lươn,4,70
phong_độ,6,70
one,10,70
thụ_hưởng,5,70
thẻ_nhớ,3,70
đậu_phụ,3,70
manga,2,69
red,9,69
thực_trạng,8,69
lạm_phát,8,69
xắt,4,69
phần_thưởng,9,69
sành_điệu,8,69
bộ_cánh,5,69
cc,8,69
bí_thư,7,69
rổ,10,69
body,6,69
tiến_sĩ,10,69
lương_thế,2,69
legends,1,69
nghêu,3,69
mái_tóc,6,68
cổ_truyền,9,68
bưu_chính,4,68
vành_đai,5,68
hóc_môn,8,68
hố,10,68
miss,3,68
nhược_điểm,10,68
twister,1,68
ngắt,10,68
nhất_trí,9,68
mg,10,68
phong_thủy,6,68
nhà_cái,3,67
cách_âm,7,67
quảng_trị,10,67
thơm_lừng,4,67
dân_tộc_thiểu_số,9,67
vo,7,67
tội,10,67
phá_giá,3,67
mp,8,67
lòng_đỏ,4,67
khởi_tố,5,67
vùng_sâu,8,67
serie,3,67
biên_bản,10,67
ăn_mòn,7,67
thường_trực,8,67
vung,8,67
chữa_cháy,7,67
bún_chả,3,67
biến_tấu,7,66
phím,7,66
bôi,8,66
chức_danh,7,66
dược_phẩm,10,66
ngò,3,66
dubai,8,66
hs,4,66
movt,1,66
tróc,8,66
dạy_học,4,66
xúc_tiến,10,66
quỷ,8,66
metro,5,66
kon,10,66
nlg,1,66
tăm,9,66
khánh_hòa,10,66
quần_thể,6,66
đề_tài,10,66
máy_bơm,4,66
ngây,2,66
ios,6,66
arv,1,66
nhà_giáo,2,66
đôla,8,66
bình_đẳng,9,66
bế,5,66
brazil,10,66
sabeco,2,65
bưu_điện,9,65
eo,4,65
tráng_miệng,6,65
acid,6,65
pubg,1,65
đường_cao_tốc,8,65
madrid,2,65
tttt,2,65
ánh_kim,6,65
triết_lý,10,65
nước_ối,1,65
gòn,4,65
thực_tiễn,10,65
vừa_miệng,4,65
uốn,9,65
tinh_xảo,9,65
diễm,10,65
thủy_lực,6,65
vac,2,65
mía,7,64
suv,2,64
ngộ_độc,4,64
mitsubishi,4,64
lightning,3,64
tòa_án,7,64
bó,9,64
max,9,64
lựu,5,64
điều_dưỡng,5,64
nam_nữ,10,64
điệu,8,64
vùng_xa,7,64
mpa,3,64
khai_mạc,10,64
showroom,9,64
mút,6,64
free,8,64
phức_hợp,7,64
paraffin,1,64
liên_thông,7,64
cựa,2,64
tẩy_rửa,8,64
giòn_tan,4,64
lợp,4,64
tiến_bộ,10,64
di_dời,10,64
bốt,3,63
biếu,9,63
gingerbon,1,63
nadal,1,63
kèo,5,63
peugeot,1,63
homestay,3,63
rịa,10,63
cửa_kính,9,63
diệp,8,63
sa_tế,2,63
bình_minh,10,63
có_thai,7,63
note,8,63
thành_tựu,10,63
tuyệt_hảo,6,63
huyết,8,63
airbus,3,62
chk,1,62
sốt_rét,1,62
benfica,1,62
trân_châu,3,62
cày,3,62
bưởi,7,62
sh,8,62
xoa,8,62
guitar,6,62
lớp_học,8,62
go,10,62
nhọn,10,62
sưng,9,62
legend,6,62
click,7,62
vuốt,9,62
ph,7,62
chua_cay,3,62
nhà_sách,4,62
chu_kỳ,10,62
mu,7,62
tư_tưởng,8,62
star,10,62
hồng_ngoại,5,62
lịch_sự,9,61
vali,6,61
chỉ_thị,9,61
khuôn_viên,8,61
sáng_tác,10,61
bùn,10,61
gậy,3,61
tiền_phong,8,61
thành_phẩm,10,61
chấp_thuận,10,61
trị_giá_triệu,10,61
lên_mặt,8,61
hiệp_định,8,61
bình_tĩnh,9,61
iv,9,61
ăn_chay,4,61
goi,5,61
dầm,8,61
tablet,5,61
liên_hoan,4,60
bệnh_lý,4,60
cứu_hộ,8,60
tạ,9,60
chiêu,10,60
nc,3,60
kim_ngân,5,60
gamer,2,60
premier,5,60
candle,2,60
phạm_văn,8,60
ðể,8,60
boeing,3,60
tố_cáo,8,60
grab,4,60
hoạt_chất,6,60
hữu_cơ,9,60
khan_hiếm,10,60
động_vật,8,60
phái_đẹp,4,60
quấy,5,60
tươi_sống,6,60
yoga,6,60
điên,10,60
tranh_cãi,9,60
nxb,1,59
rau_sống,4,59
hạt_giống,6,59
hd,8,59
nhan_sắc,6,59
hivaids,4,59
cao_ốc,6,59
tham_mưu,7,59
ctcp,4,59
dư_nợ,3,59
thung_lũng,9,59
phân_công,9,59
hdpe,2,59
giá_triệu,9,59
cửa_ngõ,6,59
phì,8,59
đình_chỉ,10,59
napoli,3,59
trớ,2,59
khởi_hành,8,59
ngoại_tệ,5,59
đơn_cử,10,59
hàn_thực,1,59
cầm_cố,1,59
phú_nhuận,10,59
dây_cáp,3,59
quy_chế,10,59
li,9,58
full,9,58
thủ_thiêm,4,58
tươi_mát,5,58
văn_phòng_phẩm,3,58
kĩ_năng,6,58
công_chúa,6,58
xẻ,7,58
dịch_chuyển,9,58
iran,5,58
who,5,58
nhí,6,58
imperia,1,58
emdep,1,58
giò,5,58
gdp,8,58
tay_chân,8,58
đối_đầu,8,58
toán,9,58
chỉ_huy,8,58
vani,5,58
trái_phép,10,58
jll,1,58
dĩa,7,58
huy_chương,5,58
luật_sư,10,58
công_đoàn,7,58
giải_khát,10,58
trung_thu,8,58
đầu_lòng,4,58
chứa_chất,7,58
chân_đế,4,58
quái_vật,4,57
tinh_bột,7,57
global,10,57
công_tắc,6,57
phối_cảnh,3,57
di_cư,5,57
nhà_vườn,5,57
galaxy,8,57
psg,1,57
khởi_kiện,4,57
xóm,10,57
blw,1,57
eject,1,57
võng,8,57
chip,7,57
bàn_phím,7,57
đấu_trường,6,57
murad,3,57
xử_trí,4,57
hssv,2,57
cướp,10,57
fax,6,57
óc,8,57
giao_diện,10,56
banh,6,56
xô,9,56
united,6,56
china,10,56
may_mặc,7,56
ðảng,2,56
cốm,4,56
bình_hưng,5,56
mộc_mạc,7,56
chiến_trường,5,56
nước_mắt,10,56
chức_vụ,8,56
seo,7,56
ceo,7,56
kinh_nguyệt,6,56
thầy_giáo,7,56
trọ,7,56
máy_ảnh,7,56
cúng,7,56
đánh_bại,8,55
bến_xe,8,55
cty,8,55
hôm_qua,9,55
apacer,1,55
white,8,55
trụ_cột,9,55
bộ_môn,10,55
biếng,1,55
kê_khai,6,55
chủ_nhiệm,7,55
vĩ_mô,7,55
gym,5,55
sọc,8,55
le,10,55
gram,8,55
ươm,8,55
song_phương,5,55
chỉnh_sửa,9,55
store,10,55
gian_lận,8,55
cốp_pha,2,55
văn_minh,10,55
lôi_cuốn,10,55
nỉ,9,55
break,1,54
lão_hóa,5,54
bùi,9,54
home,8,54
xi_măng,8,54
rụng,7,54
ngoại_hình,10,54
sảng_khoái,7,54
biên_hòa,10,54
thoáng_đãng,7,54
tử_tuất,1,54
mặt_đường,8,54
con_cái,10,54
trung_gian,10,54
ngoại_thất,6,54
khoáng,10,54
vú,6,54
chân_dung,8,54
tín,7,54
sút,5,54
phi_thơm,3,54
beauty,2,54
rau_thơm,3,54
ùn_tắc,6,54
nhức,10,54
cuba,3,54
phaner,1,54
mc,8,54
bắc_nam,8,53
ðây,7,53
chế_tài,7,53
tuần_hoàn,9,53
httpmuahcomvnchitiet,3,53
mode,5,53
vi_phạm_quy_định,7,53
hero,4,53
truyền_nhiễm,4,53
hủ,6,53
âm_đạo,4,53
đại_lộ,4,53
cữ,4,53
trung_học,8,53
aspxid,3,53
thon,7,53
phát_âm,4,53
sexy,6,53
sản_lượng,9,53
xúc_động,9,53
công_chúng,9,53
thiên_thần,6,53
phản_cảm,7,53
phê_bình,6,53
liên_đoàn,9,53
huyền,9,53
tháo_gỡ,9,53
kiểm_nghiệm,10,53
thân_hình,8,53
hạnh_nhân,4,53
cực_đại,2,53
qúy,5,53
liên_minh,9,53
sưởi,7,53
nhã,6,52
rạng_rỡ,5,52
que,6,52
sập,8,52
new_zealand,9,52
glc,1,52
vest,5,52
everon,2,52
open,7,52
sandisk,1,52
bẩm_sinh,5,52
khít,8,52
xx,6,52
bong_bóng,9,52
biên_soạn,4,52
thụy,6,52
duyên_dáng,7,52
sừng,7,52
đông_lạnh,7,52
mài,9,52
laminate,2,52
ngọc_trai,6,52
mất_ngủ,8,52
nươc,10,52
thìa_canh,4,52
survival,1,52
cau,5,52
phẩm_chất,6,52
trú,8,52
nộm,3,52
lạp,8,52
mic,7,52
hp,7,52
apg,1,52
bột_ngọt,4,52
savills,1,52
pvp,2,51
bí_đao,3,51
kiến_tạo,8,51
đèo,7,51
tá,8,51
mix,5,51
nhà_thờ,9,51
gắp,7,51
hàng_xóm,10,51
thăng_long,5,51
tam_quốc,1,51
xác,10,51
liga,1,51
acoustic,3,51
ct,9,51
ngoan,5,51
hà_giang,9,51
fb,10,51
chảnh,10,51
móng_giò,3,51
sệt,6,51
nữ_giới,7,51
sâu_rộng,9,51
chiêu_thức,4,51
tư_pháp,7,51
riverside,1,51
xúc,8,51
một_vẻ,7,51
ông_bà,10,51
sân_nhà,7,51
pk,3,51
sôcôla,3,51
khử_trùng,6,51
kẹo_gừng,1,51
tối_giản,9,51
laneige,1,51
củ_cải,5,51
hương_liệu,5,51
vietinbank,4,50
nợ_đọng,1,50
chấn_chỉnh,9,50
công_năng,10,50
xã_hội_hóa,6,50
quảng_trường,7,50
tower,7,50
tươi_trẻ,5,50
mọt,6,50
xii,5,50
nhập_học,5,50
phòng_thủ,5,50
rách,10,50
vamc,2,50
từ_thiên_nhiên,8,50
đón_đầu,7,50
