Model,Hyper_Parameter,f1_macro,accuracy,Training_Time (Seconds)
MultiNB,{'alpha': 0.0004},0.7892034430388465,0.7961783439490446,0.15761709213256836
RandomForest,"{'n_jobs': -1, 'max_features': 0.7, 'max_depth': 75, 'n_estimators': 15}",0.7081462202336721,0.6916012442601096,10.670343160629272
KernelSVM,"{'kernel': 'rbf', 'C': 0.7, 'gamma': 0.6}",0.6683441828651883,0.6450896163531329,33.857264041900635
Logistic,{'C': 2.13},0.7642731728591913,0.7584061620500666,1.8750076293945312
LinearSVM,{'C': 0.445},0.7798191337453046,0.7852170048881647,0.6444995403289795
ExtraTree,"{'n_jobs': -1, 'class_weight': 'balanced', 'max_features': 0.3, 'max_depth': 70, 'n_estimators': 60}",0.7178140468557835,0.6982669234187527,13.470300436019897
KNN,"{'weights': 'distance', 'n_neighbors': 5}",0.38761456880336836,0.33565397718856466,0.9293861389160156
